date,revenue,train,test
2017-09-01,203560.78,,
2017-10-01,264533.78,281874.4,
2017-11-01,375191.4,340394.75,
2017-12-01,385598.7,447267.47,
2018-01-01,208699.98,457362.6,
2018-02-01,207606.75,286796.72,
2018-03-01,224224.75,285749.5,
2018-04-01,219503.86,301677.7,
2018-05-01,210569.33,297150.78,
2018-06-01,213202.69,288587.66,
2018-07-01,210433.72,291110.94,
2018-08-01,220885.16,288457.72,
2018-09-01,509576.97,298475.12,
2018-10-01,620458.1,578192.7,
2018-11-01,803524.0,687137.8,
2018-12-01,874356.75,868779.1,
2019-01-01,494318.47,939639.4,
2019-02-01,499860.4,563265.25,
2019-03-01,479234.22,568685.1,
2019-04-01,492390.38,548523.7,
2019-05-01,500492.3,561380.06,
2019-06-01,482922.78,569303.25,
2019-07-01,447065.16,552127.06,
2019-08-01,437404.06,517137.22,
2019-09-01,1143611.8,507724.84,
2019-10-01,1395193.0,1211843.0,
2019-11-01,1944794.4,1470081.0,
2019-12-01,2065190.6,2046271.5,
2020-01-01,1116845.6,2174526.5,
2020-02-01,1093463.5,1184586.8,
2020-03-01,153656.78,1160811.4,
2020-04-01,514097.62,234174.36,
2020-05-01,646061.6,582618.3,
2020-06-01,988088.25,712410.44,
2020-07-01,1039190.2,1054073.9,
2020-08-01,1072724.0,1105751.9,
2020-09-01,1796300.6,1139750.4,
2020-10-01,2263105.8,1889054.1,
2020-11-01,3021085.2,2386819.2,
2020-12-01,3261302.8,,
2021-01-01,1787227.1,,
2021-02-01,1801835.0,,1879483.4
2021-03-01,1774798.8,,1894894.0
2021-04-01,1808054.1,,1866380.2
2021-05-01,1792322.4,,1901458.2
2021-06-01,1736337.4,,1884857.5
2021-07-01,1792907.9,,1825881.1
2021-08-01,1825893.4,,1885475.1
2021-09-01,6747838.0,,1920297.8
2021-10-01,8440107.0,,7440438.0
2021-11-01,11589429.0,,9322991.0
2021-12-01,12358835.0,,
